# Generated by fetch_fundamentals.py -- this is only a shape reference.
# NSE is authoritative for revenue, pat, promoter_pct, pledge_pct and
# interest_cover; Yahoo fills the ratios. Lender columns apply to banks only.
symbol,quarter,period,revenue,pat,pat_annual,cfo,roe,roce,debt_equity,interest_cover,promoter_pct,pledge_pct,pe,gnpa_pct,nnpa_pct,pcr_pct,roa_pct,cost_income_pct,credit_cost_pct,car_pct,casa_pct,notes
TCS,2026Q3,quarterly,63973.0,12444.0,49799.0,52094.0,47.74,55.16,0.102,72.22,71.77,0.0,16.75,,,,,,,,,nse-results
HDFCBANK,2026Q3,quarterly,,,,,13.84,,,,0.15,0.0,15.58,1.42,0.46,67.83,1.88,40.63,12.62,,,nse-lender
